Samsung Component lib - Ver. 5.0

DC Bias Characteristics
DC bias value = 0.0Vdc
Temperature = 25.0degC

[CL21A226MQYNNW]
DC voltage(Vdc),Capacitance(uF),¥ÄC(%)
0.0,21.292399999999933,0.0
0.05,21.30334599999994,0.05140801412713841
0.1,21.31929466666661,0.1263111094413066
0.15000000000000002,21.338101999999957,0.2146399654337775
0.2,21.357623999999962,0.30632526159582407
0.25,21.375716666666637,0.39129767741871924
0.3,21.39023599999998,0.4594878923937361
0.35,21.399037999999983,0.5008265860121475
0.39999999999999997,21.399978666666662,0.5052444377652262
0.44999999999999996,21.390914000000002,0.46267212714424577
0.5,21.369699999999998,0.36304033364047844
0.5477500000000001,21.345750983333332,0.25056350309688613
0.592,21.326520533333337,0.1602474748426828
0.6342500000000001,21.306923550000008,0.06821001859852022
0.6759999999999999,21.281874933333338,-0.04943109591494971
0.71875,21.24628958333334,-0.2165580989770753
0.764,21.195082400000008,-0.4570532208672045
0.81325,21.12316828333334,-0.7947986918646857
0.868,21.025462133333342,-1.2536767422488673
0.92975,20.896878850000007,-1.8575696022990966
1.0,20.732333333333333,-2.630359502294724
1.079075,20.52868451666666,-3.586798497742251
1.1655999999999997,20.289460799999997,-4.710315417707449
1.2585250000000001,20.019581283333327,-5.977807652808566
1.3568,19.723965066666658,-7.366172593663849
1.4593749999999999,19.407531249999987,-8.85230763089155
1.5652,19.07519893333332,-10.413110155109917
1.673225,18.731887216666646,-12.025477556937194
1.7824000000000002,18.38251519999998,-13.66630722699164
1.8916749999999996,18.03200198333331,-15.312496555891492
2.0,17.68526666666663,-16.940942934255006
2.110275,17.32816269999996,-18.618085795870766
2.2252,16.947729599999953,-20.40479419886906
2.343425,16.550665566666613,-22.269609970380692
2.4636,16.143668799999936,-24.181074937536465
2.5843749999999996,15.733437499999926,-26.107730927467195
2.7044,15.326669866666585,-28.018119767303673
2.8223249999999998,14.93006409999991,-29.880783284176708
2.9368,14.550318399999906,-31.664263305217116
3.046475,14.194130966666567,-33.337101657555685
3.15,13.8681999999999,-34.867840168323234
3.2464749999999998,13.57261845166657,-36.25604228895469
3.3367999999999998,13.300491679999906,-37.53408878285234
3.4223250000000003,13.048036494999913,-38.719747445098
3.5044,12.811469706666585,-39.830786070773485
3.5843749999999996,12.58700812499993,-40.884972454960604
3.6636,12.370868559999938,-41.90007439274119
3.743425,12.159267821666615,-42.893859679197035
3.8251999999999997,11.948422719999957,-43.88409610940997
3.9102749999999995,11.734550064999965,-44.88855147846181
4.0,11.513866666666635,-45.92499358143436
4.092575,11.289885483333306,-46.97692376935742
4.1856,11.068481466666643,-48.01675026457009
4.279525,10.849414416666647,-49.045601169118186
4.3748000000000005,10.632444133333316,-50.06460458504749
4.471875000000001,10.417330416666651,-51.074888614403804
4.571199999999999,10.203833066666654,-52.07758135923294
4.6732249999999995,9.99171188333332,-53.07381092158069
4.7784,9.780726666666657,-54.06470540349285
4.887174999999999,9.570637216666658,-55.051392907015234
5.0,9.361203333333327,-56.035001534193626
5.11605,9.151808508333328,-57.01842672346304
5.2344,8.942359333333329,-58.00210716812873
5.3553500000000005,8.73340025833333,-58.98348585254195
5.4792,8.52547573333333,-59.960005761053914
5.606249999999999,8.31913020833333,-60.92910987801582
5.7368,8.114908133333332,-61.888241187778945
5.871149999999999,7.913353958333331,-62.834842674694464
6.009600000000001,7.715012133333331,-63.76635732311362
6.15245,7.5204271083333305,-64.68022811738763
6.3,7.330143333333333,-65.57389804186772

